ANF, ABERCROMBIE & FITCH CO,New York Stock Exchange,Consumer Discretionary,Retail,Small Blend
ATV, ACORN INTL INC,New York Stock Exchange,Consumer Discretionary,Media,
AMCN, AIRMEDIA GROUP INC,NASDAQ Stock Market,Consumer Discretionary,Media,
AMZN, AMAZON COM INC,NASDAQ - Industrial,Consumer Discretionary,Retail,Large Growth
AEO, AMERICAN EAGLE OUTFITTERS NEW,NASDAQ - Industrial,Consumer Discretionary,Retail,Mid Value
AOBC, AMERICAN OUTDOOR BRANDS CORP,NASDAQ Stock Market,Consumer Discretionary,Leisure,Small Blend
BAJAJ-AUTO, BAJAJ AUTO LTD,Bombay Stock Exchange Limited (BSE),Consumer Discretionary,Leisure,Large Blend
BKS, BARNES & NOBLE INC,New York Stock Exchange,Consumer Discretionary,Retail,Small Value
BBBY, BED BATH & BEYOND INC,NASDAQ - Industrial,Consumer Discretionary,Retail,Small Value
BBY, BEST BUY INC,New York Stock Exchange,Consumer Discretionary,Retail,Large Blend
BBW, BUILD A BEAR WORKSHOP,New York Stock Exchange,Consumer Discretionary,Retail,Small Blend
BURL, BURLINGTON STORES INC,New York Stock Exchange,Consumer Discretionary,Retail,Mid Growth
KMX, CARMAX INC,New York Stock Exchange,Consumer Discretionary,Retail,Mid Blend
CCL, CARNIVAL PLC,London Main Market  U.K.,Consumer Discretionary,Leisure,Mid Blend
CAKE, CHEESECAKE FACTORY INC,NASDAQ - Industrial,Consumer Discretionary,Leisure,Small Blend
601888, CHINA INTL TRAVEL,Shanghai Stock Exchange (SSE),Consumer Discretionary,Leisure,Large Growth
CMG, CHIPOTLE MEXICAN GRILL INC,New York Stock Exchange,Consumer Discretionary,Leisure,Mid Growth
CGBGF, COGOBUY GROUP,Stock Exchange of Hong Kong Limited (HKEx),Consumer Discretionary,Retail,Small Value
CMCSA, COMCAST CORP NEW,NASDAQ - Industrial,Consumer Discretionary,Media,Large Blend
TCS, CONTAINER STORE GROUP INC,New York Stock Exchange,Consumer Discretionary,Retail,Small Value
COST, COSTCO WHSL CORP NEW,NASDAQ - Industrial,Consumer Discretionary,Retail,Large Growth
DJCO, DAILY JOURNAL CORP,NASDAQ Stock Market,Consumer Discretionary,Media,Small Growth
DFRG, DEL FRISCOS RESTAURANT GROUP I,NASDAQ Stock Market,Consumer Discretionary,Leisure,Small Blend
DIS, DISNEY WALT CO,New York Stock Exchange,Consumer Discretionary,Media,Large Blend
DG, DOLLAR GEN CORP NEW,New York Stock Exchange,Consumer Discretionary,Retail,Large Blend
DLTR, DOLLAR TREE INC,NASDAQ - Industrial,Consumer Discretionary,Retail,Large Blend
DPZ, DOMINOS PIZZA INC,New York Stock Exchange,Consumer Discretionary,Leisure,Mid Growth
FIVE, FIVE BELOW INC,NASDAQ Stock Market,Consumer Discretionary,Retail,Mid Growth
FL, FOOT LOCKER INC,New York Stock Exchange,Consumer Discretionary,Retail,Mid Value
GPIC, GAMING PARTNERS INTL CORP,NASDAQ Stock Market,Consumer Discretionary,Leisure,Small Blend
GPS, GAP INC DEL,New York Stock Exchange,Consumer Discretionary,Retail,Mid Value
GRDZF, GIORDANO INTL LTD,Stock Exchange of Hong Kong Limited (HKEx),Consumer Discretionary,Retail,Mid Value
HOG, HARLEY DAVIDSON INC,New York Stock Exchange,Consumer Discretionary,Leisure,Mid Value
HEROMOTOCO, HERO MOTOCORP LTD,Bombay Stock Exchange Limited (BSE),Consumer Discretionary,Leisure,Large Blend
HIBB, HIBBETT SPORTS INC,NASDAQ - Industrial,Consumer Discretionary,Retail,Small Value
HSW, HOSTELWORLD GROUP,London Main Market  U.K.,Consumer Discretionary,Leisure,Small Value
H, HYATT HOTELS CORP,New York Stock Exchange,Consumer Discretionary,Leisure,Mid Blend
IMAX, IMAX CORP,NASDAQ - Industrial,Consumer Discretionary,Media,Small Growth
IHG, INTERCONTL HOTELS,London Main Market  U.K.,Consumer Discretionary,Leisure,Mid Growth
JUBLFOOD, JUBILANT FOODWORKS,Bombay Stock Exchange Limited (BSE),Consumer Discretionary,Leisure,Mid Growth
LE, LANDS END INC NEW,NASDAQ Stock Market,Consumer Discretionary,Retail,Small Growth
LVS, LAS VEGAS SANDS CORP,New York Stock Exchange,Consumer Discretionary,Leisure,Large Blend
LCII, LCI INDS,American Stock Exchange,Consumer Discretionary,Leisure,Small Blend
LOOK, LOOKERS,London Main Market  U.K.,Consumer Discretionary,Retail,Small Value
M, MACYS INC,New York Stock Exchange,Consumer Discretionary,Retail,Mid Value
MAR, MARRIOTT INTL INC NEW,New York Stock Exchange,Consumer Discretionary,Leisure,Large Growth
MCD, MCDONALDS CORP,New York Stock Exchange,Consumer Discretionary,Leisure,Large Blend
NXT, NEXT,London Main Market  U.K.,Consumer Discretionary,Retail,Large Growth
NCLH, NORWEGIAN CRUISE LINE HLDG LTD,NASDAQ Stock Market,Consumer Discretionary,Leisure,Small Growth
OTB, ON THE BEACH GROUP,London Main Market  U.K.,Consumer Discretionary,Leisure,Small Growth
P, PANDORA MEDIA INC,New York Stock Exchange,Consumer Discretionary,Media,Small Value
PZZA, PAPA JOHNS INTL INC,NASDAQ - Industrial,Consumer Discretionary,Leisure,Mid Blend
PIR, PIER 1 IMPORTS INC,New York Stock Exchange,Consumer Discretionary,Retail,Mid Growth
PLNT, PLANET FITNESS INC,New York Stock Exchange,Consumer Discretionary,Leisure,
RLH, RED LION HOTELS CORP,New York Stock Exchange,Consumer Discretionary,Leisure,Small Growth
RLJE, RLJ ENTMT INC,NASDAQ Stock Market,Consumer Discretionary,Media,Small Value
SHALF, SHANGRI-LA ASIA,Stock Exchange of Hong Kong Limited (HKEx),Consumer Discretionary,Leisure,Large Blend
SSI, STAGE STORES INC,NASDAQ - Industrial,Consumer Discretionary,Retail,Small Value
SBUX, STARBUCKS CORP,NASDAQ - Industrial,Consumer Discretionary,Leisure,Large Growth
TLRD, TAILORED BRANDS INC,New York Stock Exchange,Consumer Discretionary,Retail,Small Value
TGT, TARGET CORP,New York Stock Exchange,Consumer Discretionary,Retail,Large Growth
TXRH, TEXAS ROADHOUSE INC,NASDAQ Stock Market,Consumer Discretionary,Leisure,Mid Blend
TJX, TJX COS INC NEW,New York Stock Exchange,Consumer Discretionary,Retail,Large Value
ULTA, ULTA BEAUTY INC,NASDAQ Stock Market,Consumer Discretionary,Retail,Mid Growth
URBN, URBAN OUTFITTERS INC,NASDAQ - Industrial,Consumer Discretionary,Retail,Large Blend
WEN, WENDYS CO,New York Stock Exchange,Consumer Discretionary,Leisure,Mid Blend
WTB, WHITBREAD,London Main Market  U.K.,Consumer Discretionary,Leisure,Large Blend
YUM, YUM BRANDS INC,New York Stock Exchange,Consumer Discretionary,Leisure,Mid Value
