CPB, CAMPBELL SOUP CO,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Mid Blend
CASY, CASEYS GEN STORES INC,NASDAQ - Industrial,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Value
BORN, CHINA NEW BORUN CORP,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Blend
KO, COCA COLA CO,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Small Blend
CL, COLGATE PALMOLIVE CO,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Value
CORE, CORE MARK HOLDING CO INC,NASDAQ Stock Market,Consumer Staples Food  Beverage &,Tobacco,Large Value
CVS, CVS HEALTH CORP,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Value
GIS, GENERAL MLS INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Growth
GNC, GNC HLDGS INC,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Blend
GODREJCP, GODREJ CONSUMER PR,Bombay Stock Exchange Limited (BSE),Consumer Staples Personal Care  Drug & Grocery,Stores,Large Growth
HSY, HERSHEY CO,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Growth
HINDUNILVR, HINDUSTAN UNILEVER,Bombay Stock Exchange Limited (BSE),Consumer Staples Personal Care  Drug & Grocery,Stores,Small Blend
ITC, ITC,Bombay Stock Exchange Limited (BSE),Consumer Staples Food  Beverage &,Tobacco,Large Value
JJSF, J & J SNACK FOODS CORP,NASDAQ - Industrial,Consumer Staples Food  Beverage &,Tobacco,Large Value
K, KELLOGG CO,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,
KDP, KEURIG DR PEPPER INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,600519
600519, KWEICHOW MOUTAI,Shanghai Stock Exchange (SSE),Consumer Staples Food  Beverage &,Tobacco,Large Growth
MKC, MCCORMICK & CO INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Mid Blend
TAP, MOLSON COORS BREWING CO,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Mid Value
MDLZ, MONDELEZ INTL INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Blend
MNST, MONSTER BEVERAGE CORP NEW,NASDAQ - Industrial,Consumer Staples Food  Beverage &,Tobacco,Large Growth
FIZZ, NATIONAL BEVERAGE CORP,American Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Mid Growth
NESTLEIND, NESTLE INDIA,Bombay Stock Exchange Limited (BSE),Consumer Staples Food  Beverage &,Tobacco,Large Growth
TIS, ORCHIDS PAPER PRODS CO DEL,American Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Value
PEP, PEPSICO INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Value
PG, PROCTER AND GAMBLE CO,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Value
RB., RECKITT BENCK GRP,London Main Market  U.K.,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Growth
RAD, RITE AID CORP,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Blend
SBRY, SAINSBURY(J),London Main Market  U.K.,Consumer Staples Personal Care  Drug & Grocery,Stores,Mid Blend
SVU, SUPERVALU INC,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Value
SYY, SYSCO CORP,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Blend
TR, TOOTSIE ROLL INDS INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Small Blend
THS, TREEHOUSE FOODS INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Small Value
TSN, TYSON FOODS INC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Value
ULVR, UNILEVER PLC,London Main Market  U.K.,Consumer Staples Food  Beverage &,Tobacco,Large Growth
UL, UNILEVER PLC,New York Stock Exchange,Consumer Staples Food  Beverage &,Tobacco,Large Growth
WDFC, WD-40 CO,NASDAQ - Industrial,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Blend
WYN, WYNNSTAY GROUP,London Main Market  U.K.,Consumer Staples Food  Beverage &,Tobacco,Small Value
