CASY, CASEYS GEN STORES INC,NASDAQ - Industrial,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Value
CL, COLGATE PALMOLIVE CO,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Value
CVS, CVS HEALTH CORP,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Value
GNC, GNC HLDGS INC,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Blend
GODREJCP, GODREJ CONSUMER PR,Bombay Stock Exchange Limited (BSE),Consumer Staples Personal Care  Drug & Grocery,Stores,Large Growth
HINDUNILVR, HINDUSTAN UNILEVER,Bombay Stock Exchange Limited (BSE),Consumer Staples Personal Care  Drug & Grocery,Stores,Small Blend
TIS, ORCHIDS PAPER PRODS CO DEL,American Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Value
PG, PROCTER AND GAMBLE CO,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Value
RB., RECKITT BENCK GRP,London Main Market  U.K.,Consumer Staples Personal Care  Drug & Grocery,Stores,Large Growth
RAD, RITE AID CORP,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Blend
SBRY, SAINSBURY(J),London Main Market  U.K.,Consumer Staples Personal Care  Drug & Grocery,Stores,Mid Blend
SVU, SUPERVALU INC,New York Stock Exchange,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Value
WDFC, WD-40 CO,NASDAQ - Industrial,Consumer Staples Personal Care  Drug & Grocery,Stores,Small Blend
