AMTX, AEMETIS INC,NASDAQ Stock Market,Energy Alternative,Energy,Small Value
BP, BP PLC,New York Stock Exchange,Energy Non-renewable,Energy,Large Value
CVX, CHEVRON CORP NEW,New York Stock Exchange,Energy Non-renewable,Energy,Large Blend
SNP, CHINA PETE & CHEM CORP,New York Stock Exchange,Energy Non-renewable,Energy,Large Value
CEO, CNOOC LTD,New York Stock Exchange,Energy Non-renewable,Energy,Large Blend
COALINDIA, COAL INDIA LTD,Bombay Stock Exchange Limited (BSE),Energy Non-renewable,Energy,Large Value
CLR, CONTINENTAL RESOURCES INC,New York Stock Exchange,Energy Non-renewable,Energy,Large Blend
ETP, ENERGY TRANSFER PARTNERS LP,New York Stock Exchange,Energy Non-renewable,Energy,Large Value
XOM, EXXON MOBIL CORP,New York Stock Exchange,Energy Non-renewable,Energy,Large Blend
GLEN, GLENCORE PLC,London Main Market  U.K.,Energy Non-renewable,Energy,Large Value
HES, HESS CORP,New York Stock Exchange,Energy Non-renewable,Energy,Large Value
LAM, LAMPRELL PLC,London Main Market  U.K.,Energy Energy Equipment &,Services,Small Value
NOV, NATIONAL OILWELL VARCO INC,New York Stock Exchange,Energy Energy Equipment &,Services,Large Growth
NGS, NATURAL GAS SERVICES GROUP,New York Stock Exchange,Energy Energy Equipment &,Services,Small Growth
ONGC, OIL & NATURAL GAS,Bombay Stock Exchange Limited (BSE),Energy Non-renewable,Energy,Large Value
OKE, ONEOK INC NEW,New York Stock Exchange,Energy Non-renewable,Energy,Large Blend
PTR, PETROCHINA CO LTD,New York Stock Exchange,Energy Non-renewable,Energy,Large Growth
PSX, PHILLIPS 66,New York Stock Exchange,Energy Non-renewable,Energy,Small Blend
RELIANCE, RELIANCE INDS,Bombay Stock Exchange Limited (BSE),Energy Non-renewable,Energy,Small Blend
RDSA, ROYAL DUTCH SHELL,London Main Market  U.K.,Energy Non-renewable,Energy,Mid Value
SJVN, SJVN LTD,Bombay Stock Exchange Limited (BSE),Energy Alternative,Energy,Large Value
SUN, SUNOCO LP,New York Stock Exchange,Energy Non-renewable,Energy,Large Value
TRCH, TORCHLIGHT ENERGY RES INC,NASDAQ Stock Market,Energy Non-renewable,Energy,Large Value
TLW, TULLOW OIL,London Main Market  U.K.,Energy Non-renewable,Energy,Small Value
