AXP, AMERICAN EXPRESS CO,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Large Value
JRJC, CHINA FIN ONLINE CO LTD,NASDAQ Stock Market,Financial Services Consumer Finance & Credit,Services,Large Growth
600007, CHINA WORLD TRD CT,Shanghai Stock Exchange (SSE),Financial Services Real,Estate,Large Blend
C, CITIGROUP INC,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Large Value
CLIG, CITY OF LON INV GP,London Main Market  U.K.,Financial Services Investment Banking &,Brokerage,Large Blend
CS, CREDIT SUISSE GROUP,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Mid Blend
DB, DEUTSCHE BANK AG,New York Stock Exchange,Financial Services Investment Banking &,Brokerage,Mid Growth
DLR, DIGITAL RLTY TR INC,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Small Value
DFS, DISCOVER FINL SVCS,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Mid Blend
EXPN, EXPERIAN,London Main Market  U.K.,Financial Services Consumer Finance & Credit,Services,Small Blend
GBCI, GLACIER BANCORP INC NEW,NASDAQ Bank - Insurance,Financial Services Consumer Finance & Credit,Services,Large Blend
MA, MASTERCARD INCORPORATED,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Large Value
MCO, MOODYS CORP,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Small Value
PYPL, PAYPAL HLDGS INC,NASDAQ Stock Market,Financial Services Consumer Finance & Credit,Services,Large Blend
RF, REGIONS FINL CORP NEW,New York Stock Exchange,Financial Services Consumer Finance & Credit,Services,Mid Value
SBIN, STATE BK OF INDIA,Bombay Stock Exchange Limited (BSE),Financial Services Consumer Finance & Credit,Services,Large Growth
