ABBV, ABBVIE INC,New York Stock Exchange,Healthcare Health Care,Services,Large Blend
ACHC, ACADIA HEALTHCARE COMPANY INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Large Value
AET, AETNA INC NEW,New York Stock Exchange,Healthcare Health Care,Services,Small Growth
AMGN, AMGEN INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Blend
AMN, AMN HEALTHCARE SERVICES INC,New York Stock,Exchange,Healthcare ,
AZN, ASTRAZENECA,London Main Market  U.K.,Healthcare Large,Value,AUROPHARMA
,,,,,
AUROPHARMA, AUROBINDO PHARMA,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Blend
BAX, BAXTER INTL INC,New York Stock Exchange,Healthcare Medical Equipment And,Services,Large Blend
BMY, BRISTOL MYERS SQUIBB CO,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Blend
CGIX, CANCER GENETICS INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Small Value
CSII, CARDIOVASCULAR SYS INC DEL,NASDAQ Stock Market,Healthcare Medical Equipment And,Services,Small Growth
CPRX, CATALYST PHARMACEUTICALS INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Small Blend
CELG, CELGENE CORP,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Growth
CIPLA, CIPLA,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
DRREDDY, DR REDDYS LABS,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
ENDP, ENDO INTL PLC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Small Value
GILD, GILEAD SCIENCES INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Value
GSK, GLAXOSMITHKLINE PLC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Blend
GMED, GLOBUS MED INC,New York Stock Exchange,Healthcare Medical Equipment And,Services,Mid Growth
GRANULES, GRANULES INDIA,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Small Blend
HBIO, HARVARD BIOSCIENCE INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Small Blend
ILMN, ILLUMINA INC,NASDAQ - Industrial,Healthcare Medical Equipment And,Services,Large Growth
JNJ, JOHNSON & JOHNSON,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
MCK, MCKESSON CORP,New York Stock Exchange,Healthcare Health Care,Services,Large Value
MDC, MEDICLINIC INTERNA,London Main Market  U.K.,Healthcare Health Care,Services,Mid Value
MRK, MERCK & CO INC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
MYGN, MYRIAD GENETICS INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Small Growth
NVS, NOVARTIS A G,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
PFE, PFIZER INC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
PEL, PIRAMAL ENTERPRISE,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
PBH, PRESTIGE CONSMR HEALTHCARE INC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Small Blend
REGN, REGENERON PHARMACEUTICALS,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Growth
SHP, SHIRE,London Main Market  U.K.,Healthcare Pharmaceuticals &,Biotech,Large Value
SN., SMITH & NEPHEW,London Main Market  U.K.,Healthcare Medical Equipment And,Services,Large Blend
SUNPHARMA, SUN PHARMACEUTICAL,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
TEVA, TEVA PHARMACEUTICAL INDS LTD,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Value
UNH, UNITEDHEALTH GROUP INC,New York Stock Exchange,Healthcare Health Care,Services,Large Growth
ZGNX, ZOGENIX INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Small Blend
