AMN, AMN HEALTHCARE SERVICES INC,New York Stock,Exchange,Healthcare ,
AUROPHARMA, AUROBINDO PHARMA,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Blend
BMY, BRISTOL MYERS SQUIBB CO,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Blend
CGIX, CANCER GENETICS INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Small Value
CPRX, CATALYST PHARMACEUTICALS INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Small Blend
CELG, CELGENE CORP,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Growth
CIPLA, CIPLA,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
DRREDDY, DR REDDYS LABS,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
ENDP, ENDO INTL PLC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Small Value
GILD, GILEAD SCIENCES INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Value
GSK, GLAXOSMITHKLINE PLC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Blend
GRANULES, GRANULES INDIA,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Small Blend
HBIO, HARVARD BIOSCIENCE INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Small Blend
JNJ, JOHNSON & JOHNSON,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
MRK, MERCK & CO INC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
MYGN, MYRIAD GENETICS INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Small Growth
NVS, NOVARTIS A G,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
PFE, PFIZER INC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Large Value
PEL, PIRAMAL ENTERPRISE,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
PBH, PRESTIGE CONSMR HEALTHCARE INC,New York Stock Exchange,Healthcare Pharmaceuticals &,Biotech,Small Blend
REGN, REGENERON PHARMACEUTICALS,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Growth
SHP, SHIRE,London Main Market  U.K.,Healthcare Pharmaceuticals &,Biotech,Large Value
SUNPHARMA, SUN PHARMACEUTICAL,Bombay Stock Exchange Limited (BSE),Healthcare Pharmaceuticals &,Biotech,Large Growth
TEVA, TEVA PHARMACEUTICAL INDS LTD,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Value
ZGNX, ZOGENIX INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Small Blend
ACHC, ACADIA HEALTHCARE COMPANY INC,NASDAQ Stock Market,Healthcare Pharmaceuticals &,Biotech,Large Value
AMGN, AMGEN INC,NASDAQ - Industrial,Healthcare Pharmaceuticals &,Biotech,Large Blend
