AAL, AMERICAN AIRLS GROUP INC,NASDAQ Stock Market,Producer Durables Transportation &,Freight,Large Value
ARCB, ARCBEST CORP,NASDAQ - Industrial,Producer Durables Transportation &,Freight,Small Blend
ASGN, ASGN INC,NASDAQ - Industrial,Producer Durables Commercial,Services,Mid Growth
ASH, ASHLEY HOUSE,London Main Market  U.K.,Producer Durables Manufacturing &,Production,Small Value
BHEL, BHARAT HEAVY ELECT,Bombay Stock Exchange Limited (BSE),Producer Durables Manufacturing &,Production,Large Blend
BA, BOEING CO,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Growth
,,,,,
,,,,,
BNZL, BUNZL,London Main Market  U.K.,Producer Durables Manufacturing &,Production,Mid Blend
CEA, CHINA EASTN AIRLS LTD,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Value
ZNH, CHINA SOUTHN AIRLS LTD,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Blend
CYD, CHINA YUCHAI INTL LTD,New York Stock Exchange,Producer Durables,Machinery,Mid Value
DAL, DELTA AIR LINES INC DEL,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Value
PLOW, DOUGLAS DYNAMICS INC,New York Stock Exchange,Producer Durables,Machinery,Small Growth
EZJ, EASYJET,London Main Market  U.K.,Producer Durables Transportation &,Freight,Mid Blend
ECLERX, ECLERX SERVICES,Bombay Stock Exchange Limited (BSE),Producer Durables Commercial,Services,Mid Blend
FCN, FTI CONSULTING INC,New York Stock Exchange,Producer Durables Commercial,Services,Small Growth
GSH, GUANGSHEN RY LTD,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Value
HTLD, HEARTLAND EXPRESS INC,NASDAQ - Industrial,Producer Durables Transportation &,Freight,Small Blend
JDSHF, JARDINE STRATEGIC,Singapore Exchange (SGX),Producer Durables Manufacturing &,Production,Large Blend
JBLU, JETBLUE AIRWAYS CORP,NASDAQ - Industrial,Producer Durables Transportation &,Freight,Mid Value
KSU, KANSAS CITY SOUTHERN,New York Stock Exchange,Producer Durables Transportation &,Freight,Mid Blend
LT, LARSEN & TOUBRO,Bombay Stock Exchange Limited (BSE),Producer Durables Commercial,Services,Large Growth
LMT, LOCKHEED MARTIN CORP,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Blend
MIDD, MIDDLEBY CORP,NASDAQ - Industrial,Producer Durables,Machinery,Mid Blend
LABL, MULTI COLOR CORP,NASDAQ - Industrial,Producer Durables Commercial,Services,Small Blend
NCI, NAVIGANT CONSULTING INC,New York Stock Exchange,Producer Durables Commercial,Services,Small Blend
PCAR, PACCAR INC,NASDAQ - Industrial,Producer Durables Transportation &,Freight,Large Blend
RBA, RITCHIE BROS AUCTIONEERS,New York Stock Exchange,Producer Durables Commercial,Services,Mid Blend
RR., ROLLS ROYCE HLDGS,London Main Market  U.K.,Producer Durables Transportation &,Freight,Large Growth
600009, SHANGHAI INTL PORT,Shanghai Stock Exchange (SSE),Producer Durables Transportation &,Freight,Large Growth
SKYW, SKYWEST INC,NASDAQ - Industrial,Producer Durables Transportation &,Freight,Small Value
SMIN, SMITHS GROUP,London Main Market  U.K.,Producer Durables Manufacturing &,Production,Mid Growth
SNA, SNAP ON INC,New York Stock Exchange,Producer Durables,Machinery,Mid Blend
LUV, SOUTHWEST AIRLS CO,New York Stock Exchange,Producer Durables Transportation &,Freight,Large Blend
SPAR, SPARTAN MTRS INC,NASDAQ - Industrial,Producer Durables Transportation &,Freight,Small Growth
SAVE, SPIRIT AIRLS INC,NASDAQ Stock Market,Producer Durables Transportation &,Freight,Small Value
TWI, TITAN INTL INC ILL,New York Stock Exchange,Producer Durables,Machinery,Small Blend
VRSK, VERISK ANALYTICS INC,NASDAQ Stock Market,Producer Durables Commercial,Services,Large Growth
WNC, WABASH NATL CORP,New York Stock Exchange,Producer Durables Transportation &,Freight,Small Value
XRM, XERIUM TECHNOLOGIES INC,New York Stock Exchange,Producer Durables,Machinery,Small Value
ZTO, ZTO EXPRESS CAYMAN INC,New York Stock Exchange,Producer Durables Transportation &,Freight,Small Value
